PhysicalEntity1	Met-tRNAi	cytosol	Reactome DB_ID: 72393	NA	
PhysicalEntity10	polypeptide	cytosol	Reactome DB_ID: 141681	NA	
PhysicalEntity2	RNA-binding protein in RNP (ribonucleoprotein) complexes	cytosol	Reactome DB_ID: 72595	NA	
PhysicalEntity3	eIF1	cytosol	Reactome DB_ID: 72617	NA	
PhysicalEntity4	L13a kinase	cytosol	Reactome DB_ID: 170641	NA	
PhysicalEntity5	nascent polypeptide with signal sequence	cytosol	Reactome DB_ID: 1799333	NA	
PhysicalEntity6	nascent polypeptide with signal sequence	endoplasmic reticulum membrane	Reactome DB_ID: 1799338	NA	
PhysicalEntity7	cleaved nascent polypeptide	endoplasmic reticulum membrane	Reactome DB_ID: 1799321	NA	
PhysicalEntity8	signal peptide	endoplasmic reticulum membrane	Reactome DB_ID: 1799320	NA	
PhysicalEntity9	peptidyl-tRNA with elongated peptide	cytosol	Reactome DB_ID: 141678	NA	
Protein126	SEC61 alpha	endoplasmic reticulum membrane	Reactome DB_ID: 444590	Protein127	
Protein126	SEC61 alpha	endoplasmic reticulum membrane	Reactome DB_ID: 444590	Protein128	
Protein141	EEF1A1-like proteins	cytosol	Reactome DB_ID: 3907260	Protein140	
Protein141	EEF1A1-like proteins	cytosol	Reactome DB_ID: 3907260	Protein142	
Protein141	EEF1A1-like proteins	cytosol	Reactome DB_ID: 3907260	Protein143	
Rna5	mRNA	cytosol	Reactome DB_ID: 72323	Rna6	
Rna7	7SL RNA	cytosol	Reactome DB_ID: 445238	Rna8	
Rna7	7SL RNA	cytosol	Reactome DB_ID: 445238	Rna9	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule7	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule8	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule9	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule10	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule11	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule12	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule13	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule14	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule15	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule16	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule17	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule18	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule19	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule20	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule21	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule22	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule23	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule24	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule25	
SmallMolecule6	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule26	
