PhysicalEntity1	elongating pre-rRNA transcript	nucleoplasm	Reactome DB_ID: 74985	NA	
PhysicalEntity2	DNA	nucleoplasm	Reactome DB_ID: 29428	NA	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein21	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein22	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein23	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein24	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein25	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein26	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein27	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein28	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein29	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein30	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein31	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein32	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein33	
Protein20	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein34	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein36	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein37	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein38	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein39	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein40	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein41	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein42	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein43	
Protein35	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein44	
Protein45	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein46	
Protein45	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein47	
Protein45	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein48	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule2	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule3	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule4	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule5	
