BiochemicalReaction1	Formation of phosphoribosyl pyrophosphate amidotransferase tetramer	Complex1	Complex2	
BiochemicalReaction10	SAICAR => AICAR + Fumarate	SmallMolecule25	SmallMolecule26	
BiochemicalReaction10	SAICAR => AICAR + Fumarate	SmallMolecule25	SmallMolecule27	
BiochemicalReaction11	AICAR + 10-Formyl-THF => FAICAR + THF	SmallMolecule17	SmallMolecule18	
BiochemicalReaction11	AICAR + 10-Formyl-THF => FAICAR + THF	SmallMolecule26	SmallMolecule18	
BiochemicalReaction11	AICAR + 10-Formyl-THF => FAICAR + THF	SmallMolecule26	SmallMolecule28	
BiochemicalReaction11	AICAR + 10-Formyl-THF => FAICAR + THF	SmallMolecule17	SmallMolecule28	
BiochemicalReaction12	FAICAR => IMP + H2O	SmallMolecule28	SmallMolecule4	
BiochemicalReaction12	FAICAR => IMP + H2O	SmallMolecule28	SmallMolecule8	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule4	SmallMolecule30	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule29	SmallMolecule30	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule8	SmallMolecule30	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule8	SmallMolecule31	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule29	SmallMolecule31	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule4	SmallMolecule31	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule8	SmallMolecule32	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule29	SmallMolecule32	
BiochemicalReaction13	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	SmallMolecule4	SmallMolecule32	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule7	SmallMolecule5	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule13	SmallMolecule5	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule31	SmallMolecule5	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule8	SmallMolecule5	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule8	SmallMolecule10	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule31	SmallMolecule10	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule13	SmallMolecule10	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule7	SmallMolecule10	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule8	SmallMolecule3	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule31	SmallMolecule3	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule13	SmallMolecule3	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule7	SmallMolecule3	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule8	SmallMolecule11	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule31	SmallMolecule11	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule13	SmallMolecule11	
BiochemicalReaction14	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	SmallMolecule7	SmallMolecule11	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule33	SmallMolecule14	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule24	SmallMolecule14	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule4	SmallMolecule14	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule4	SmallMolecule34	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule24	SmallMolecule34	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule33	SmallMolecule34	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule4	SmallMolecule35	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule24	SmallMolecule35	
BiochemicalReaction15	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	SmallMolecule33	SmallMolecule35	
BiochemicalReaction16	Adenylosuccinate => AMP + Fumarate	SmallMolecule34	SmallMolecule27	
BiochemicalReaction16	Adenylosuccinate => AMP + Fumarate	SmallMolecule34	SmallMolecule3	
BiochemicalReaction2	Dissociation of phosphoribosyl pyrophosphate amidotransferase tetramer	Complex2	Complex1	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule7	SmallMolecule9	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule6	SmallMolecule9	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule8	SmallMolecule9	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule8	SmallMolecule10	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule6	SmallMolecule10	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule7	SmallMolecule10	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule8	SmallMolecule11	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule6	SmallMolecule11	
BiochemicalReaction3	PRPP + H2O + L-Glutamine => 5-Phosphoribosylamine + L-Glutamate + PPi	SmallMolecule7	SmallMolecule11	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule12	SmallMolecule14	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule9	SmallMolecule14	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule13	SmallMolecule14	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule13	SmallMolecule15	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule9	SmallMolecule15	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule12	SmallMolecule15	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule13	SmallMolecule16	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule9	SmallMolecule16	
BiochemicalReaction4	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	SmallMolecule12	SmallMolecule16	
BiochemicalReaction5	GAR + 10-Formyl-THF => FGAR + THF	SmallMolecule17	SmallMolecule18	
BiochemicalReaction5	GAR + 10-Formyl-THF => FGAR + THF	SmallMolecule16	SmallMolecule18	
BiochemicalReaction5	GAR + 10-Formyl-THF => FGAR + THF	SmallMolecule16	SmallMolecule19	
BiochemicalReaction5	GAR + 10-Formyl-THF => FGAR + THF	SmallMolecule17	SmallMolecule19	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule7	SmallMolecule14	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule19	SmallMolecule14	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule13	SmallMolecule14	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule8	SmallMolecule14	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule8	SmallMolecule15	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule13	SmallMolecule15	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule19	SmallMolecule15	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule7	SmallMolecule15	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule8	SmallMolecule10	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule13	SmallMolecule10	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule19	SmallMolecule10	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule7	SmallMolecule10	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule8	SmallMolecule20	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule13	SmallMolecule20	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule19	SmallMolecule20	
BiochemicalReaction6	FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	SmallMolecule7	SmallMolecule20	
BiochemicalReaction7	FGAM + ATP => AIR + ADP + Pi	SmallMolecule20	SmallMolecule14	
BiochemicalReaction7	FGAM + ATP => AIR + ADP + Pi	SmallMolecule13	SmallMolecule14	
BiochemicalReaction7	FGAM + ATP => AIR + ADP + Pi	SmallMolecule13	SmallMolecule21	
BiochemicalReaction7	FGAM + ATP => AIR + ADP + Pi	SmallMolecule20	SmallMolecule21	
BiochemicalReaction7	FGAM + ATP => AIR + ADP + Pi	SmallMolecule13	SmallMolecule15	
BiochemicalReaction7	FGAM + ATP => AIR + ADP + Pi	SmallMolecule20	SmallMolecule15	
BiochemicalReaction8	AIR + CO2 => CAIR	SmallMolecule21	SmallMolecule23	
BiochemicalReaction8	AIR + CO2 => CAIR	SmallMolecule22	SmallMolecule23	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule24	SmallMolecule14	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule13	SmallMolecule14	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule23	SmallMolecule14	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule23	SmallMolecule15	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule13	SmallMolecule15	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule24	SmallMolecule15	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule23	SmallMolecule25	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule13	SmallMolecule25	
BiochemicalReaction9	CAIR + Aspartate + ATP => SAICAR + ADP + Pi	SmallMolecule24	SmallMolecule25	
