Pathway1	PathwayStep13	DNA Damage Bypass	
Pathway2	PathwayStep12	Translesion synthesis by DNA polymerases bypassing lesion on DNA template 	
Pathway2	PathwayStep8	Translesion synthesis by DNA polymerases bypassing lesion on DNA template 	
Pathway2	PathwayStep4	Translesion synthesis by DNA polymerases bypassing lesion on DNA template 	
Pathway3	PathwayStep2	Translesion synthesis by HREV1	
Pathway3	PathwayStep3	Translesion synthesis by HREV1	
Pathway3	PathwayStep1	Translesion synthesis by HREV1	
Pathway4	PathwayStep6	Translesion synthesis by Pol eta  	
Pathway4	PathwayStep7	Translesion synthesis by Pol eta  	
Pathway4	PathwayStep5	Translesion synthesis by Pol eta  	
Pathway5	PathwayStep10	Translesion synthesis by Pol zeta	
Pathway5	PathwayStep9	Translesion synthesis by Pol zeta	
Pathway5	PathwayStep11	Translesion synthesis by Pol zeta	
