PhysicalEntity1	Iron Sulfur Cluster	cytosol	Reactome DB_ID: 70986	NA	
SmallMolecule1	AMP, dAMP, GMP, IMP	extracellular region	Reactome DB_ID: 500101	SmallMolecule2	
SmallMolecule1	AMP, dAMP, GMP, IMP	extracellular region	Reactome DB_ID: 500101	SmallMolecule3	
SmallMolecule1	AMP, dAMP, GMP, IMP	extracellular region	Reactome DB_ID: 500101	SmallMolecule4	
SmallMolecule1	AMP, dAMP, GMP, IMP	extracellular region	Reactome DB_ID: 500101	SmallMolecule5	
SmallMolecule15	(d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500120	SmallMolecule16	
SmallMolecule15	(d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500120	SmallMolecule17	
SmallMolecule15	(d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500120	SmallMolecule18	
SmallMolecule15	(d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500120	SmallMolecule19	
SmallMolecule21	(deoxy)guanosine, (deoxy)inosine	cytosol	Reactome DB_ID: 500118	SmallMolecule22	
SmallMolecule21	(deoxy)guanosine, (deoxy)inosine	cytosol	Reactome DB_ID: 500118	SmallMolecule23	
SmallMolecule21	(deoxy)guanosine, (deoxy)inosine	cytosol	Reactome DB_ID: 500118	SmallMolecule24	
SmallMolecule21	(deoxy)guanosine, (deoxy)inosine	cytosol	Reactome DB_ID: 500118	SmallMolecule25	
SmallMolecule30	(d)AMP, (d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500125	SmallMolecule27	
SmallMolecule30	(d)AMP, (d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500125	SmallMolecule31	
SmallMolecule30	(d)AMP, (d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500125	SmallMolecule16	
SmallMolecule30	(d)AMP, (d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500125	SmallMolecule17	
SmallMolecule30	(d)AMP, (d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500125	SmallMolecule18	
SmallMolecule30	(d)AMP, (d)GMP, (d)IMP	cytosol	Reactome DB_ID: 500125	SmallMolecule19	
SmallMolecule32	(d)A, (d)G, (d)I	cytosol	Reactome DB_ID: 500124	SmallMolecule28	
SmallMolecule32	(d)A, (d)G, (d)I	cytosol	Reactome DB_ID: 500124	SmallMolecule33	
SmallMolecule32	(d)A, (d)G, (d)I	cytosol	Reactome DB_ID: 500124	SmallMolecule22	
SmallMolecule32	(d)A, (d)G, (d)I	cytosol	Reactome DB_ID: 500124	SmallMolecule23	
SmallMolecule32	(d)A, (d)G, (d)I	cytosol	Reactome DB_ID: 500124	SmallMolecule24	
SmallMolecule32	(d)A, (d)G, (d)I	cytosol	Reactome DB_ID: 500124	SmallMolecule25	
SmallMolecule34	G, dG	cytosol	Reactome DB_ID: 500245	SmallMolecule22	
SmallMolecule34	G, dG	cytosol	Reactome DB_ID: 500245	SmallMolecule23	
SmallMolecule35	ribose 1-phosphate, deoxyribose 1-phosphate	cytosol	Reactome DB_ID: 500244	SmallMolecule36	
SmallMolecule35	ribose 1-phosphate, deoxyribose 1-phosphate	cytosol	Reactome DB_ID: 500244	SmallMolecule37	
SmallMolecule39	inosine, deoxyinosine	cytosol	Reactome DB_ID: 500172	SmallMolecule24	
SmallMolecule39	inosine, deoxyinosine	cytosol	Reactome DB_ID: 500172	SmallMolecule25	
SmallMolecule8	adenosine, deoxyadenosine, guanosine, inosine	extracellular region	Reactome DB_ID: 500104	SmallMolecule9	
SmallMolecule8	adenosine, deoxyadenosine, guanosine, inosine	extracellular region	Reactome DB_ID: 500104	SmallMolecule10	
SmallMolecule8	adenosine, deoxyadenosine, guanosine, inosine	extracellular region	Reactome DB_ID: 500104	SmallMolecule11	
SmallMolecule8	adenosine, deoxyadenosine, guanosine, inosine	extracellular region	Reactome DB_ID: 500104	SmallMolecule12	
