PhysicalEntity1	protein tyrosine phosphatase	cytosol	Reactome DB_ID: 74731	NA	
Protein1	phospho-IRS	cytosol	Reactome DB_ID: 74687	Protein2	
Protein1	phospho-IRS	cytosol	Reactome DB_ID: 74687	Protein3	
Protein1	phospho-IRS	cytosol	Reactome DB_ID: 74687	Protein4	
Protein11	p-SHC	cytosol	Reactome DB_ID: 167016	Protein12	
Protein11	p-SHC	cytosol	Reactome DB_ID: 167016	Protein13	
Protein11	p-SHC	cytosol	Reactome DB_ID: 167016	Protein14	
Protein18	Mitogen-activated protein kinase	cytosol	Reactome DB_ID: 3656389	Protein19	
Protein18	Mitogen-activated protein kinase	cytosol	Reactome DB_ID: 3656389	Protein20	
Protein21	p-IRS1,2	cytosol	Reactome DB_ID: 112322	Protein2	
Protein21	p-IRS1,2	cytosol	Reactome DB_ID: 112322	Protein3	
Protein5	IRS	cytosol	Reactome DB_ID: 74698	Protein6	
Protein5	IRS	cytosol	Reactome DB_ID: 74698	Protein7	
Protein5	IRS	cytosol	Reactome DB_ID: 74698	Protein8	
