Protein1	SLC25A1	UniProt:P53007 SLC25A1	Reactome DB_ID: 372445	mitochondrial inner membrane	
Protein10	ACSL3	UniProt:O95573 ACSL3	Reactome DB_ID: 548787	endoplasmic reticulum membrane	
Protein11	ACS5	UniProt:Q9ULC5 ACSL5	Reactome DB_ID: 165011	endoplasmic reticulum membrane	
Protein12	ELOVL1	UniProt:Q9BW60 ELOVL1	Reactome DB_ID: 548764	endoplasmic reticulum membrane	
Protein13	ELOVL2	UniProt:Q9NXB9 ELOVL2	Reactome DB_ID: 548677	endoplasmic reticulum membrane	
Protein14	ELOVL3	UniProt:Q9HB03 ELOVL3	Reactome DB_ID: 548785	endoplasmic reticulum membrane	
Protein15	ELOVL4	UniProt:Q9GZR5 ELOVL4	Reactome DB_ID: 548705	endoplasmic reticulum membrane	
Protein16	ELOVL5	UniProt:Q9NYP7 ELOVL5	Reactome DB_ID: 548679	endoplasmic reticulum membrane	
Protein17	ELOVL6	UniProt:Q9H5J4 ELOVL6	Reactome DB_ID: 548680	endoplasmic reticulum membrane	
Protein18	ELOVL7	UniProt:A1L3X0 ELOVL7	Reactome DB_ID: 548661	endoplasmic reticulum membrane	
Protein2	ACLY	UniProt:P53396 ACLY	Reactome DB_ID: 76187	cytosol	
Protein20	HSD17B12	UniProt:Q53GQ0 HSD17B12	Reactome DB_ID: 548766	endoplasmic reticulum membrane	
Protein21	HSD17B3	UniProt:P37058 HSD17B3	Reactome DB_ID: 192162	endoplasmic reticulum membrane	
Protein23	TECR	UniProt:Q9NZ01 TECR	Reactome DB_ID: 548663	endoplasmic reticulum membrane	
Protein24	TECRL	UniProt:Q5HYJ1 TECRL	Reactome DB_ID: 4127427	endoplasmic reticulum membrane	
Protein3	ACC1	UniProt:Q13085 ACACA	Reactome DB_ID: 2976730	cytosol	
Protein4	FAS	UniProt:P49327 FASN	Reactome DB_ID: 54659	cytosol	
Protein6	ACSL1	UniProt:P33121 ACSL1	Reactome DB_ID: 201038	endoplasmic reticulum membrane	
Protein7	ACSL6	UniProt:Q9UKU0 ACSL6	Reactome DB_ID: 548687	endoplasmic reticulum membrane	
Protein9	ACSL4	UniProt:O60488 ACSL4	Reactome DB_ID: 548712	endoplasmic reticulum membrane	
