Complex1	14-3-3zeta dimer	cytosol	Reactome DB_ID: 206751	Protein1	
Complex10	ADP:P2Y purinoceptor 12	plasma membrane	Reactome DB_ID: 392179	SmallMolecule2	
Complex10	ADP:P2Y purinoceptor 12	plasma membrane	Reactome DB_ID: 392179	Protein12	
Complex100	SOS bound to Grb2:pPTK2	plasma membrane	Reactome DB_ID: 354168	Protein151	
Complex100	SOS bound to Grb2:pPTK2	plasma membrane	Reactome DB_ID: 354168	Complex99	
Complex101	PTK2 bound p130Cas complex	plasma membrane	Reactome DB_ID: 372688	Protein152	
Complex101	PTK2 bound p130Cas complex	plasma membrane	Reactome DB_ID: 372688	Complex98	
Complex102	Phosphorylated p130Cas in complex with PTK2	plasma membrane	Reactome DB_ID: 372646	Protein153	
Complex102	Phosphorylated p130Cas in complex with PTK2	plasma membrane	Reactome DB_ID: 372646	Complex98	
Complex103	Crk bound to p130Cas:FADK1	plasma membrane	Reactome DB_ID: 372652	Complex102	
Complex103	Crk bound to p130Cas:FADK1	plasma membrane	Reactome DB_ID: 372652	Protein154	
Complex104	Integrin alpha IIb p(T779)-beta 3	plasma membrane	Reactome DB_ID: 432105	Protein155	
Complex104	Integrin alpha IIb p(T779)-beta 3	plasma membrane	Reactome DB_ID: 432105	Protein141	
Complex105	Integrin alphaIIb beta 3:p(Y530)-SRC:CSK:Talin:RIAM complex:SHC	plasma membrane	Reactome DB_ID: 432098	Complex86	
Complex105	Integrin alphaIIb beta 3:p(Y530)-SRC:CSK:Talin:RIAM complex:SHC	plasma membrane	Reactome DB_ID: 432098	Protein158	
Complex106	Integrin alpha IIb beta 3:p(Y530)-SRC:CSK:Talin:RIAM complex:p(Y317)-SHC	plasma membrane	Reactome DB_ID: 443900	Protein159	
Complex106	Integrin alpha IIb beta 3:p(Y530)-SRC:CSK:Talin:RIAM complex:p(Y317)-SHC	plasma membrane	Reactome DB_ID: 443900	Complex86	
Complex107	Talin:RIAM:ECM ligands:2X (Integrin alphaIIb beta3:Active (p-Y419)-SRC):SYK	plasma membrane	Reactome DB_ID: 429424	Complex94	
Complex107	Talin:RIAM:ECM ligands:2X (Integrin alphaIIb beta3:Active (p-Y419)-SRC):SYK	plasma membrane	Reactome DB_ID: 429424	Protein78	
Complex108	Talin:RIAM:ECM ligands:2X(Integrin alphaIIb beta3:Active (p-Y419)-SRC):p(Y)-SYK	plasma membrane	Reactome DB_ID: 429434	Complex94	
Complex108	Talin:RIAM:ECM ligands:2X(Integrin alphaIIb beta3:Active (p-Y419)-SRC):p(Y)-SYK	plasma membrane	Reactome DB_ID: 429434	Protein160	
Complex109	Alpha-2 adrenoceptor:Catecholamine	plasma membrane	Reactome DB_ID: 390700	SmallMolecule20	
