Complex10	PDGF B homodimer	platelet alpha granule lumen	Reactome DB_ID: 184204	Protein52	
Complex11	Thrombospondin-1 trimer	platelet alpha granule lumen	Reactome DB_ID: 549142	Protein73	
Complex12	Fibrinogen	extracellular region	Reactome DB_ID: 114618	Protein81	
Complex12	Fibrinogen	extracellular region	Reactome DB_ID: 114618	Protein82	
Complex12	Fibrinogen	extracellular region	Reactome DB_ID: 114618	Protein83	
Complex13	Hepatocyte growth factor	extracellular region	Reactome DB_ID: 141763	Protein102	
Complex13	Hepatocyte growth factor	extracellular region	Reactome DB_ID: 141763	Protein103	
Complex15	PDGF A homodimer	extracellular region	Reactome DB_ID: 184203	Protein104	
Complex16	PDGF AB heterodimer	extracellular region	Reactome DB_ID: 184196	Protein104	
Complex16	PDGF AB heterodimer	extracellular region	Reactome DB_ID: 184196	Protein105	
Complex17	PDGF B homodimer	extracellular region	Reactome DB_ID: 184206	Protein106	
Complex18	THBS1 trimer	extracellular region	Reactome DB_ID: 265405	Protein127	
Complex19	Alpha IIb Beta 3 Integrin	platelet alpha granule membrane	Reactome DB_ID: 114513	Protein134	
Complex19	Alpha IIb Beta 3 Integrin	platelet alpha granule membrane	Reactome DB_ID: 114513	Protein135	
Complex2	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule1	
Complex2	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule2	
Complex2	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	Protein5	
Complex2	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule4	
Complex20	Integrin alpha2bbeta3	plasma membrane	Reactome DB_ID: 114514	Protein140	
Complex20	Integrin alpha2bbeta3	plasma membrane	Reactome DB_ID: 114514	Protein141	
Complex3	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule1	
Complex3	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule2	
Complex3	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule4	
Complex3	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	Protein6	
Complex4	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule1	
Complex4	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule2	
Complex4	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	Protein4	
Complex4	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule4	
Complex5	fibrinogen	platelet alpha granule lumen	Reactome DB_ID: 114617	Protein24	
Complex5	fibrinogen	platelet alpha granule lumen	Reactome DB_ID: 114617	Protein25	
Complex5	fibrinogen	platelet alpha granule lumen	Reactome DB_ID: 114617	Protein26	
Complex6	Hepatocyte growth factor	platelet alpha granule lumen	Reactome DB_ID: 141765	Protein47	
Complex6	Hepatocyte growth factor	platelet alpha granule lumen	Reactome DB_ID: 141765	Protein48	
Complex8	PDGF A homodimer	platelet alpha granule lumen	Reactome DB_ID: 184195	Protein50	
Complex9	PDGF AB heterodimer	platelet alpha granule lumen	Reactome DB_ID: 184198	Protein51	
Complex9	PDGF AB heterodimer	platelet alpha granule lumen	Reactome DB_ID: 184198	Protein50	
