SmallMolecule1	DAG	1,2-diacyl-sn-glycerol [ChEBI:17815]	Reactome DB_ID: 114519	plasma membrane	
SmallMolecule11	ATP	ATP [ChEBI:15422]	Reactome DB_ID: 114571	platelet dense granule lumen	
SmallMolecule12	Ca2+	Calcium [ChEBI:29108]	Reactome DB_ID: 114582	platelet dense granule lumen	
SmallMolecule13	GDP	GDP [ChEBI:17552]	Reactome DB_ID: 114622	platelet dense granule lumen	
SmallMolecule14	GTP	GTP [ChEBI:15996]	Reactome DB_ID: 114625	platelet dense granule lumen	
SmallMolecule15	Mg2+	Magnesium [ChEBI:18420]	Reactome DB_ID: 114631	platelet dense granule lumen	
SmallMolecule16	Pi	Orthophosphate [ChEBI:18367]	Reactome DB_ID: 114640	platelet dense granule lumen	
SmallMolecule17	PPi	PPi [ChEBI:29888]	Reactome DB_ID: 114654	platelet dense granule lumen	
SmallMolecule18	5HT	3-(2-Aminoethyl)-1H-indol-5-ol [ChEBI:28790]	Reactome DB_ID: 30717	platelet dense granule lumen	
SmallMolecule2	Phosphatidylserine	phosphatidyl-L-serine [ChEBI:18303]	Reactome DB_ID: 33625	plasma membrane	
SmallMolecule20	ADP	ADP [ChEBI:16761]	Reactome DB_ID: 114564	extracellular region	
SmallMolecule21	ATP	ATP [ChEBI:15422]	Reactome DB_ID: 114570	extracellular region	
SmallMolecule22	Ca2+	Calcium [ChEBI:29108]	Reactome DB_ID: 74112	extracellular region	
SmallMolecule23	GDP	GDP [ChEBI:17552]	Reactome DB_ID: 114623	extracellular region	
SmallMolecule24	GTP	GTP [ChEBI:15996]	Reactome DB_ID: 114626	extracellular region	
SmallMolecule25	Mg2+	Magnesium [ChEBI:18420]	Reactome DB_ID: 114632	extracellular region	
SmallMolecule26	Pi	Orthophosphate [ChEBI:18367]	Reactome DB_ID: 109277	extracellular region	
SmallMolecule27	5HT	3-(2-Aminoethyl)-1H-indol-5-ol [ChEBI:28790]	Reactome DB_ID: 114523	extracellular region	
SmallMolecule28	PPi	PPi [ChEBI:29888]	Reactome DB_ID: 113542	extracellular region	
SmallMolecule3	Ca2+	Calcium [ChEBI:29108]	Reactome DB_ID: 74016	cytosol	
SmallMolecule4	Ca2+	Calcium [ChEBI:29108]	Reactome DB_ID: 140648	plasma membrane	
SmallMolecule5	ATP	ATP [ChEBI:15422]	Reactome DB_ID: 113592	cytosol	
SmallMolecule6	ADP	ADP [ChEBI:16761]	Reactome DB_ID: 29370	cytosol	
SmallMolecule9	ADP	ADP [ChEBI:16761]	Reactome DB_ID: 114565	platelet dense granule lumen	
