PhysicalEntity1	IDA	endosome lumen	Reactome DB_ID: 74819	NA	
PhysicalEntity2	protein tyrosine phosphatase	cytosol	Reactome DB_ID: 74731	NA	
Protein1	ATP6V1E	cytosol	Reactome DB_ID: 912576	Protein2	
Protein1	ATP6V1E	cytosol	Reactome DB_ID: 912576	Protein3	
Protein12	ATP6V1C	cytosol	Reactome DB_ID: 912577	Protein13	
Protein12	ATP6V1C	cytosol	Reactome DB_ID: 912577	Protein14	
Protein18	ATP6V0D	endosome membrane	Reactome DB_ID: 912580	Protein19	
Protein18	ATP6V0D	endosome membrane	Reactome DB_ID: 912580	Protein20	
Protein23	ATP6V0A	endosome membrane	Reactome DB_ID: 912594	Protein24	
Protein23	ATP6V0A	endosome membrane	Reactome DB_ID: 912594	Protein25	
Protein23	ATP6V0A	endosome membrane	Reactome DB_ID: 912594	Protein26	
Protein23	ATP6V0A	endosome membrane	Reactome DB_ID: 912594	Protein27	
Protein28	ATP6V0E	endosome membrane	Reactome DB_ID: 912581	Protein29	
Protein28	ATP6V0E	endosome membrane	Reactome DB_ID: 912581	Protein30	
Protein4	ATP6V1G	cytosol	Reactome DB_ID: 912574	Protein5	
Protein4	ATP6V1G	cytosol	Reactome DB_ID: 912574	Protein6	
Protein4	ATP6V1G	cytosol	Reactome DB_ID: 912574	Protein7	
Protein9	ATP6V1B	cytosol	Reactome DB_ID: 912593	Protein10	
Protein9	ATP6V1B	cytosol	Reactome DB_ID: 912593	Protein11	
