Complex10	Homodimer of GAD2	plasma membrane	Reactome DB_ID: 947480	Protein14	
Complex11	Heterodimer of GAD1 and GAD2	plasma membrane	Reactome DB_ID: 947478	Protein15	
Complex11	Heterodimer of GAD1 and GAD2	plasma membrane	Reactome DB_ID: 947478	Protein14	
Complex12	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein10	
Complex12	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein18	
Complex12	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein12	
Complex13	Homodimer of 4 aminobutyrate aminotransferase	mitochondrial matrix	Reactome DB_ID: 916847	Protein27	
Complex2	Homodimer of GAD1	cytosol	Reactome DB_ID: 888570	Protein1	
Complex4	Homodimer of GAD2	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888574	Protein2	
Complex5	Heterodimer of GAD1 and GAD2	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888583	Protein1	
Complex5	Heterodimer of GAD1 and GAD2	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888583	Protein2	
Complex6	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein3	
Complex6	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein4	
Complex6	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein5	
Complex6	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein6	
Complex6	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein7	
Complex6	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Complex3	
Complex6	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein8	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein3	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein4	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	SmallMolecule6	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein5	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein6	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein7	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Complex3	
Complex7	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein8	
Complex8	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein9	
Complex8	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein10	
Complex8	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein11	
Complex8	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein12	
Complex8	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein13	
Complex8	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Complex7	
