Complex1	GAD1 activity	cytosol	Reactome DB_ID: 888566	Complex2	
Complex3	GAD2 Activity Complex	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888569	Complex4	
Complex3	GAD2 Activity Complex	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888569	Complex5	
Complex9	GAD2 Activity Complex	plasma membrane	Reactome DB_ID: 947479	Complex10	
Complex9	GAD2 Activity Complex	plasma membrane	Reactome DB_ID: 947479	Complex11	
Protein22	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein23	
Protein22	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein24	
Protein22	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein25	
SmallMolecule12	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule7	
SmallMolecule12	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule13	
SmallMolecule12	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule14	
SmallMolecule12	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule15	
SmallMolecule16	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule5	
SmallMolecule16	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule17	
SmallMolecule16	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule18	
SmallMolecule16	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule19	
