PhysicalEntity1	unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 381130	NA	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	PhysicalEntity3	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	PhysicalEntity4	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	SmallMolecule2	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	SmallMolecule1	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	PhysicalEntity3	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	PhysicalEntity4	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	SmallMolecule2	
PhysicalEntity2	Glycans bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901080	SmallMolecule1	
PhysicalEntity3	(Glc)1 (GlcNAc)2 (Man)7bc	endoplasmic reticulum lumen	Reactome DB_ID: 901056	NA	
PhysicalEntity4	(Glc)1 (GlcNAc)2 (Man)8c	endoplasmic reticulum lumen	Reactome DB_ID: 901027	NA	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	PhysicalEntity6	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	SmallMolecule4	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	SmallMolecule5	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	SmallMolecule6	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	PhysicalEntity6	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	SmallMolecule4	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	SmallMolecule5	
PhysicalEntity5	Glycans (no glucose) bound to unfolded protein	endoplasmic reticulum lumen	Reactome DB_ID: 901054	SmallMolecule6	
PhysicalEntity6	(GlcNAc)2 (Man)7bc	endoplasmic reticulum lumen	Reactome DB_ID: 901089	NA	
PhysicalEntity7	unfolded protein	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912296	NA	
PhysicalEntity8	unfolded protein	cytosol	Reactome DB_ID: 1022114	NA	
Protein1	CALR,CANX	endoplasmic reticulum lumen	Reactome DB_ID: 901048	Protein2	
Protein1	CALR,CANX	endoplasmic reticulum lumen	Reactome DB_ID: 901048	Protein3	
Protein11	EDEM	endoplasmic reticulum membrane	Reactome DB_ID: 1022113	Protein12	
Protein11	EDEM	endoplasmic reticulum membrane	Reactome DB_ID: 1022113	Protein13	
Protein11	EDEM	endoplasmic reticulum membrane	Reactome DB_ID: 1022113	Protein14	
Protein8	UGGT1/2	endoplasmic reticulum lumen	Reactome DB_ID: 548881	Protein9	
Protein8	UGGT1/2	endoplasmic reticulum lumen	Reactome DB_ID: 548881	Protein10	
