PhysicalEntity1	K63polyUb	cytosol	Reactome DB_ID: 450152	NA	
Protein22	TAB2/3	plasma membrane	Reactome DB_ID: 446874	Protein23	
Protein22	TAB2/3	plasma membrane	Reactome DB_ID: 446874	Protein24	
Protein25	TAB2/3	endosome membrane	Reactome DB_ID: 975101	Protein26	
Protein25	TAB2/3	endosome membrane	Reactome DB_ID: 975101	Protein27	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein5	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein6	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein7	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein8	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein9	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein10	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein11	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein12	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein13	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein14	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein15	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein16	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein17	
Protein4	Ub	cytosol	Reactome DB_ID: 113595	Protein18	
