Protein1	CLPS	UniProt:P04118 CLPS	Reactome DB_ID: 192469	extracellular region	
Protein10	AKR1C3	UniProt:P42330 AKR1C3	Reactome DB_ID: 2142714	cytosol	
Protein100	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076635	plasma membrane	
Protein102	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076678	plasma membrane	
Protein103	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076629	plasma membrane	
Protein104	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076684	plasma membrane	
Protein105	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076656	plasma membrane	
Protein106	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076677	plasma membrane	
Protein107	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076676	plasma membrane	
Protein108	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076682	plasma membrane	
Protein109	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076681	plasma membrane	
Protein11	AKR1C4	UniProt:P17516 AKR1C4	Reactome DB_ID: 192142	cytosol	
Protein110	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076652	plasma membrane	
Protein111	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076661	plasma membrane	
Protein112	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076640	plasma membrane	
Protein113	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076633	plasma membrane	
Protein115	LRP1	UniProt:Q07954 LRP1	Reactome DB_ID: 2424272	plasma membrane	
Protein116	LRP2	UniProt:P98164 LRP2	Reactome DB_ID: 350083	plasma membrane	
Protein117	LRP8	UniProt:Q14114 LRP8	Reactome DB_ID: 432113	plasma membrane	
Protein118	LRP10	UniProt:Q7Z4F1 LRP10	Reactome DB_ID: 2424275	plasma membrane	
Protein119	LRP12	UniProt:Q9Y561 LRP12	Reactome DB_ID: 2424260	plasma membrane	
Protein12	LRAT	UniProt:O95237 LRAT	Reactome DB_ID: 975606	endoplasmic reticulum membrane	
Protein120	RBP1	UniProt:P09455 RBP1	Reactome DB_ID: 74841	cytosol	
Protein121	RBP	UniProt:P02753 RBP4	Reactome DB_ID: 2453675	extracellular region	
Protein122	TTR	UniProt:P02766 TTR	Reactome DB_ID: 976883	extracellular region	
Protein13	APOA4	UniProt:P06727 APOA4	Reactome DB_ID: 2395773	cytosol	
Protein14	apoB-48	UniProt:P04114 APOB	Reactome DB_ID: 2395786	cytosol	
Protein15	apoA-II	UniProt:P02652 APOA2	Reactome DB_ID: 2395772	cytosol	
Protein16	apoA-I	UniProt:P02647 APOA1	Reactome DB_ID: 2395781	cytosol	
