PhysicalEntity1	antigenic substrate	cytosol	Reactome DB_ID: 983035	NA	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein56	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein57	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein58	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein59	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein60	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein61	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein62	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein63	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein64	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein65	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein66	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein67	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein68	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein69	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein70	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein71	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein72	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein73	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein74	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein75	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein76	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein77	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein78	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein79	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein80	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein81	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein82	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein83	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein84	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein85	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein86	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein87	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein88	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein89	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein90	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein91	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein92	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein93	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein94	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein95	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex3	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex4	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex6	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex7	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex9	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex10	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex11	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex12	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein161	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein120	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein162	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein163	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein164	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein165	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein166	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein167	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein168	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein169	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein170	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein171	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein172	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein173	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein174	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein175	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein176	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein177	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein178	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein179	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein180	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein181	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein56	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein57	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein58	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein59	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein60	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein61	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein62	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein63	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein64	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein65	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein66	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein67	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein68	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein69	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein70	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein71	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein72	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein73	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein74	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein75	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein76	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein77	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein78	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein79	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein80	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein81	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein82	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein83	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein84	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein85	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein86	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein87	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein88	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein89	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein90	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein91	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein92	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein93	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein94	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein95	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex3	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex4	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex6	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex7	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex9	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex10	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex11	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Complex12	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein161	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein120	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein162	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein163	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein164	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein165	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein166	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein167	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein168	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein169	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein170	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein171	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein172	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein173	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein174	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein175	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein176	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein177	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein178	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein179	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein180	
PhysicalEntity2	E3 ligases in proteasomal degradation	cytosol	Reactome DB_ID: 976075	Protein181	
PhysicalEntity3	K48polyUb-antigenic substrate	cytosol	Reactome DB_ID: 983123	NA	
PhysicalEntity4	precursor peptide fragment (>16 aa)	cytosol	Reactome DB_ID: 983036	NA	
PhysicalEntity5	oligopeptide fragment (8-16aa)	cytosol	Reactome DB_ID: 983032	NA	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein2	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein3	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein4	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein5	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein6	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein7	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein8	
