PhysicalEntity1	BAP31 oligomer	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983323	NA	
PhysicalEntity2	oligopeptide fragment (8-16aa)	cytosol	Reactome DB_ID: 983032	NA	
PhysicalEntity3	oligopeptide fragment	endoplasmic reticulum lumen	Reactome DB_ID: 983034	NA	
PhysicalEntity4	Antigen peptide	endoplasmic reticulum lumen	Reactome DB_ID: 983033	NA	
PhysicalEntity5	Antigen peptide	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983326	NA	
PhysicalEntity6	Antigen peptide	Golgi membrane	Reactome DB_ID: 983324	NA	
PhysicalEntity7	Antigen	plasma membrane	Reactome DB_ID: 173548	NA	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein2	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein3	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein4	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein5	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein6	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein7	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein8	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein9	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein10	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein11	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein12	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein13	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein14	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein15	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein16	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein17	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein18	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein19	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein20	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein21	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein22	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein23	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein24	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein25	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein26	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein27	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein28	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein29	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein30	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein31	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein32	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein33	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein34	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein35	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein36	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein37	
