gene_id	simbol	ratio
373854	ODZ2	3.5846153846153848
373885	FZD10	0.12836438923395446
373886	FZD9	1.161764705882353
373887	FZD4	2.2722371967654986
373888	TFAM	1.164923291492329
373889	HK1	0.7315175097276264
373890	ADRA1B	0
373891	RECQL5	0.6288659793814433
373892	ADD3	0.8682810750279956
373893	RX2	NaN
373894	SDK1	2.298642533936652
373895	TBX22	NaN
373896	UCP3	2.3076923076923075
373897	MUSK	0.6285714285714287
373898	KIAA1274	1.6768060836501901
373899	PDIA3	0.7202020202020202
373900	UGP2	0.38833914314629475
373901	LMO4	0.544263558424044
373902	NR1H4	1.8214731585518102
373903	DIO2	2.523636363636364
373904	RHOBTB2	1.3989585916191423
373905	BASP1	0.32996100748234797
373906	NRG1	1.6637168141592922
373907	AHR	0.648307425234751
373908	EDNRA	1.8412698412698412
373909	EDNRB2	0.2727272727272727
373910	NHLH1	0.12307692307692307
373911	PTPRO	11.000000000000002
373912	NOG	NaN
373913	NR2C1	1.0460104834012813
373914	QSOX1	0.355325164938737
373916	ACO1	1.2282635317168749
373917	LGALS3	1.4880466472303209
373918	ACTN1	0.684359741691605
373919	RUNX2	0.2989949748743718
373920	MID1	0.830188679245283
373921	ZNF622	1.3861736334405144
373922	LIMK1	0.494949494949495
373923	CELF1	1.2569992821249103
373924	CACNG4	0.6666666666666667
373925	ARNTL2	2.1498422712933754
373926	FGB	1.0871807139249925
373927	CDH20	1.3448275862068968
373928	PPARG	1.7040998217468806
373929	MAPKAPK5	1.3194070080862532
373930	SUMO1	0.9291612342459799
373931	EGR1	1.3945980248284615
373933	GRM5	NaN
373934	HOXA13	2.674509803921569
373935	DACH1	1.7567567567567568
373936	RPL36	1.031656302996043
373937	RPL22	1.0314414337407756
373938	VAV2	1.2237037037037037
373939	VAV3	0.8012726382770436
373940	LHX3	NaN
373941	PRRX1	0.7065026362038663
373942	AGMAT	1.0520833333333333
373943	TBX20	0
373945	ABCA1	2.923076923076923
373947	FDX1	0.9915337023770758
373948	MATR3	1.0131041890440386
373949	B3GAT1	0.9523809523809524
373952	NBL1	1.1894736842105262
373953	MAPK1	1.3643175566726737
373954	BCL2L1	1.4274519716885743
373956	ADORA3	0.36363636363636365
373957	RPL6	0.7976341836324133
373958	IL2	NaN
373960	SMYD1	NaN
373961	HDAC1	1.5601512644764832
373963	EEF1A1	0.7142709568361368
373964	MSTN	0
373965	CALD1	1.1795918367346938
373967	SLIT2	0.6
373969	DLX5	0
373970	ROCK1	1.133112791430372
373971	TYR	NaN
373972	PRPF40A	0.9971197259847423
373974	IRX4	NaN
373975	IRX2	0
373976	ALX4	0.5114662960389159
373977	PSEN1	0.7414050822122571
373978	COL18A1	1.9271523178807948
373979	FBLN1	1.6202569465192709
373980	LAMB2	1.1341463414634148
373981	HPSE	0
373983	BRCA1	3.157894736842105
373984	PCNA	2.3037653874004347
373985	CHRDL1	4
373986	LMBR1	0.804147465437788
373987	THBS1	1.8593155893536122
373988	TBX5	NaN
373989	TBX4	1.3125
373990	TBX2	2.0695443645083933
373991	CLOCK	1.1701346389228886
373992	FBN1	1.2911694510739855
373994	POU2AF1	7.000000000000001
373995	KERA	NaN
373996	CAV1	0.6658615136876006
373997	LDHB	0.49757733879985094
373998	CRYBA4	0
373999	CRYBA2	1.3590733590733592
